SEASON_ID,PLAYER_ID,TEAM_ID ,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3
19,32,15,63,30.2,9.9,3.9,9.7,40.8,1.4,3.9,35.1,0.7,0.8,86,0.7,2.1,2.8,2.4,1.4,0.7,0.3,2.7,18.2,0,0
19,33,16,7,7.1,3.3,1.3,2.6,50,0.4,1,42.9,0.3,0.3,100,0.3,0.9,1.1,0,0.3,0.3,0,0.6,5.2,0,0
19,34,26,82,23.3,8.9,3.4,5.9,57.6,0,0.2,20,2,2.8,73.5,2,5.3,7.3,2.2,1.5,0.9,0.8,2.5,24.5,11,0
19,35,23,19,8.3,3.9,1.3,3.4,39.1,0.9,2.2,41.5,0.4,0.6,66.7,0.2,0.7,0.9,0.2,0.3,0.3,0.2,1.2,6.5,0,0
19,36,20,79,34.2,16.9,6.8,12.2,56.3,0,0.1,0,3.3,5.4,60,2.2,6.6,8.8,7.7,3.5,1.4,0.8,2.6,42.2,42,10
19,37,4,4,15.9,6.5,2.8,6.8,40.7,0,2,0,1,1,100,0,0.8,0.8,1.8,0.5,0.3,0.3,0.8,11,0,0
19,38,26,54,14.5,4.4,1.6,2.9,57.1,0,0,0,1.1,1.7,63.7,1.5,3.1,4.6,0.6,0.6,0.2,0.8,1.9,13,3,0
19,39,9,75,35,24.5,8.3,17.9,46.2,2.5,7,36.2,5.5,7.3,75.3,1.3,6.2,7.5,5.4,3.4,0.7,0.4,2.7,41.5,21,2
19,40,12,58,11.7,7.3,2.8,4.5,61.5,0.1,0.2,40,1.7,2.3,74.8,1.5,3.1,4.6,0.9,1,0.3,0.5,1.6,15.4,6,0
19,41,23,50,26,14.2,5.6,12.6,44.4,1.5,3.8,39.3,1.5,1.9,79.4,2.2,5.9,8.1,1.4,1.5,0.7,0.4,2.9,27.9,14,0
19,42,30,70,27.8,14.1,5.2,12.3,41.8,1.9,5.3,36,1.9,2.3,82.7,0.6,2.9,3.5,3.8,1.7,1,0.2,2,26.1,1,0
19,43,26,81,31.8,18,6.4,13,49.7,2,4.8,42.5,3,3.8,80.7,0.4,3.7,4.1,2,1.7,0.9,0,1.7,26.8,0,0
19,44,17,8,12.3,4.9,1.6,4.9,33.3,0.6,2.6,23.8,1,1.1,88.9,1,2.8,3.8,0.4,0.4,0.6,0.1,0.4,11.8,2,0
19,45,2,36,9.5,3.9,1.4,2.9,47.6,0.4,1.1,41,0.7,0.8,85.7,0.1,1.1,1.1,1.6,0.5,0.3,0.1,0.9,8.2,0,0
19,46,30,82,36.9,25.6,9.3,19.6,47.5,2.5,7.3,35.1,4.4,5.5,80.8,1.1,3.9,5,5.5,2.7,1.5,0.7,2.8,43.6,11,2
19,47,8,16,3.6,1.4,0.4,1.4,26.1,0.1,0.4,33.3,0.6,0.7,81.8,0.1,0.1,0.2,0.9,0.2,0,0,0.4,2.8,0,0
19,48,14,52,33.9,18.3,7,14,49.7,0.6,1.8,33,3.8,5.6,67.5,0.8,4.3,5.1,3,2.5,0.5,0.6,2.9,29.8,2,0
19,49,6,39,18.9,6.8,2.5,6.7,38.1,1.1,3.3,31.8,0.7,0.9,79.4,0.3,1.3,1.5,1.8,0.8,0.5,0.1,1.6,12.4,0,0
19,50,5,14,15.3,5.1,2,4.3,46.7,0.8,2.1,37.9,0.3,0.4,66.7,0.2,0.9,1.1,0.7,0.9,0.6,0.2,1.4,9,0,0
19,51,17,81,28.7,12.5,4.4,9.7,45.2,2.3,6.3,36.5,1.4,1.6,84.2,0.4,4.5,4.9,1.2,1,0.6,2.2,2.3,27.6,2,0
