SEASON_ID,PLAYER_ID,TEAM_ID ,OFFRTG,DEFRTG,NETRTG,AST%,OREB%,DREB%,REB%,EFG%,TS%,USG%,PACE,PIE
19,276,1,106.5,109.7,-3.3,13.1,1.7,9.5,5.6,50.8,55,19.1,107.01,8.9
19,277,9,133.3,170,-36.7,0,0,0,0,150,150,8.3,107.72,9
19,278,14,93.8,107.8,-14,28.2,1.5,7.8,4.4,43.3,45.3,10.4,101.32,5.6
19,279,24,105.1,104.7,0.4,7.2,1.9,10.9,6.5,50.6,52.6,13,105.57,6.3
19,280,18,102.8,112.4,-9.6,14.2,3.2,13.6,8.4,45.6,48.7,23.4,102.26,7.3
19,281,16,109.6,110.6,-1,6.8,2.1,9.8,5.9,44.5,49.2,14.8,103.89,5.1
19,282,6,106.6,105.6,1,17.7,2,7.8,4.9,49.2,53.6,20.3,99.5,9.4
19,283,19,113.5,109.1,4.4,30.8,3,9.9,6.5,52.3,55.5,25,104.13,12.7
19,284,8,108.6,107.3,1.3,5.4,4.4,14.4,9.3,54.5,58,11.9,99.61,7.6
19,285,15,102.9,105,-2,8.3,2.7,12.8,7.5,38.5,40.2,9.6,98.03,5.3
19,286,19,111.2,111.4,-0.2,15.8,6.9,19.8,13.4,55.5,60,27.3,104.48,13.7
19,287,1,101.9,107.6,-5.7,7.3,4.6,11.9,8.2,48.4,51.6,16.6,109.25,6.7
19,288,15,102.4,110.1,-7.7,8.4,1.7,10.3,6,49,52,15.3,99.6,6.8
19,289,7,107.3,108.3,-0.9,8.1,2.5,9.6,6,53.7,56.1,14.1,103.5,7.6
19,290,23,89.4,102.3,-12.9,25,6.5,17.4,11.1,28.6,31.7,14,106.02,5.1
19,291,16,107.6,104.2,3.4,21.3,3.1,14.1,8.6,49.7,51.3,20.6,99.61,9.7
19,292,25,117,106.5,10.5,16.8,11.9,24.1,18.1,51,57,24.1,101.57,14.6
19,293,20,107.1,111.3,-4.1,27.7,1.9,10,6,52.1,57.4,19.5,100.44,10.1
19,294,9,50,75,-25,50,0,50,23.1,0,53.2,15.4,103.16,47.1
19,295,18,112.2,111.3,0.9,16.9,9.7,25.7,17.6,57.2,62.2,28,101.05,17.7
19,296,28,115.6,107.7,7.9,15.9,3.9,16.5,10.6,54.6,60.6,30,100.33,17.2
19,297,18,107.1,112.2,-5.1,4.7,2.9,12.9,7.7,46.8,48.9,14,100.84,6.5
19,298,16,107.9,106,1.9,11.3,3.8,16,9.9,56.3,61,17.5,99.51,10.2
19,299,24,107.2,113.3,-6,6.7,3.5,12.6,8,51,55.1,22.3,103.95,9.4
19,300,4,112.1,111.8,0.4,28.7,1.7,10.6,6,51.1,55.8,30.8,99.38,14
19,301,11,113.7,109.7,4,4.3,12.3,21,16.4,60.4,62.2,19.4,101.91,12.4
19,302,19,107.8,111.6,-3.8,9.4,4.6,14.5,9.4,47.7,48.5,11.9,105.77,6.2
19,303,1,102.5,110.2,-7.7,14.4,2,12.6,7.2,47.2,50.7,21.5,106.15,8.3
19,304,14,106.3,110.1,-3.7,7.7,2.2,8.8,5.5,53,56.8,17.5,104.26,8.3
19,305,10,118.7,107.3,11.4,25.1,1.3,15.3,8.8,57.1,63.1,28.3,103.33,16.2
19,306,1,109.3,111.6,-2.2,13.9,2.7,8.7,5.6,52.2,53.3,15.3,105.58,6.5
19,307,20,101.4,115.1,-13.6,6,2.5,12,7.1,43.8,47.5,21.9,101.88,5.5
19,308,6,110.5,114.7,-4.2,12.5,5.1,34.4,19.3,47.9,56.1,25.9,100.23,14.8
19,309,10,116.3,106.1,10.3,10.6,12.6,13.3,12.9,62.7,63.6,12.2,103.25,9.2
19,310,22,105.9,102.7,3.2,8.7,11.2,16.6,13.8,60.3,64,13.6,101.21,11.6
19,311,17,114.7,104.2,10.5,19.4,2.1,14.9,8.9,51.9,55.8,24.6,104.39,11.8
19,312,9,94.6,102.7,-8,6.7,1.7,8.2,4.6,39.1,41.3,15.8,100.8,3.1
19,313,10,115,108.5,6.5,10.3,1.5,8.9,5.5,55.3,57.1,25.4,102.39,10.3
19,314,6,100,33.3,66.7,0,0,0,0,0,0,0,93.33,0
19,315,26,106,107.4,-1.3,9.9,8.8,22.9,15.6,47.7,47.7,15,105.85,8.8
19,316,7,104.5,87,17.6,0,0,11.1,5.6,0,21,24,102.21,-3.3
19,317,5,106.1,113.7,-7.6,29,1.3,11.9,6.6,45.8,48.4,19.8,99.5,8.4
19,318,15,102.6,104.7,-2.1,15.5,3.8,16.1,10,56,56.9,12.7,96.78,9.9
19,319,29,107.5,103.9,3.6,8.8,0.6,10.5,5.6,55.9,58.2,17.4,103.2,7.8
