PLAYER_ID,PLAYER_NAME,AGE,HEIGHT,WEIGHT,EXPERIENCE,STATUS,POSITION_ID,TEAM_ID 
1,Aaron Gordon,23,6'9'',220,5,1,4,22
2,Aaron Holiday,22,6'1'',185,1,1,1,12
3,Abdel Nader,25,6'6'',225,3,1,1,21
4,Al Horford,33,6'10'',245,12,1,5,2
5,Alan Williams,26,6'8'',265,0,1,4,3
6,Alec Burks,27,6'6'',214,8,1,2,26
7,Alex Abrines,25,6'6'',200,6,1,2,21
8,Alex Caruso,25,6'5'',186,0,1,1,14
9,Alex Len,26,7'1'',250,6,1,5,1
10,Alex Poythress,25,6'9'',235,0,1,4,1
11,Al-Farouq Aminu,28,6'9'',220,9,1,3,25
12,Alfonzo McKinnie,26,6'8'',215,0,1,2,10
13,Alize Johnson,23,6'9'',212,1,1,4,12
14,Allen Crabbe,27,6'6'',212,6,1,2,3
15,Allonzo Trier,23,6'5'',200,0,1,2,20
16,Amile Jefferson,26,6'9'',222,0,1,4,22
17,Amir Johnson,32,6'9'',240,14,1,5,23
18,Andre Drummond,25,6'11'',279,7,1,5,9
19,Andre Iguodala,35,6'6'',215,15,1,3,10
20,Andre Ingram,33,6'3'',190,0,1,2,14
21,Andrew Bogut,34,7'1'',260,14,1,5,10
22,Andrew Harrison,24,6'6'',213,4,1,1,19
23,Andrew Wiggins,24,6'8'',194,5,1,3,18
24,Anfernee Simons,20,6'4'',185,1,1,2,25
25,Angel Delgado,24,6'10'',245,0,1,5,13
26,Ante Zizic,22,6'11'',254,3,1,5,6
27,Anthony Davis,26,6'10'',253,7,1,5,19
28,Anthony Tolliver,34,6'8'',250,0,1,4,18
29,Antonio Blakeney,22,6'4'',192,0,1,2,5
30,Aron Baynes,32,6'10'',260,0,1,5,2
31,Austin Rivers,26,6'4'',200,7,1,1,11
32,Avery Bradley,28,6'2'',180,9,1,2,15
33,Bam Adebayo,21,6'10'',255,2,1,5,16
34,Ben McLemore,26,6'5'',201,6,1,2,26
35,Ben Simmons,22,6'10'',230,3,1,1,23
36,Billy Garrett,24,6'6'',215,0,1,2,20
37,Bismack Biyombo,26,6'9'',255,8,1,5,4
38,BJ Johnson,23,6'7'',200,0,1,3,26
39,Blake Griffin,30,6'10'',250,10,1,4,9
40,Bojan Bogdanovic,30,6'8'',216,8,1,3,12
41,Boban Marjanovic,30,7'3'',290,0,1,5,23
42,Bobby Portis,24,6'11'',250,4,1,4,30
43,Bogdan Bogdanovic,26,6'6'',205,5,1,2,26
44,Bonzie Colson,23,6'6'',225,0,1,3,17
45,Brad Wanamaker,29,6'4'',210,0,1,1,2
46,Bradley Beal,26,6'5'',207,7,1,2,30
47,Brandon Goodwin,23,6'2'',180,0,1,1,8
48,Brandon Ingram,21,6'9'',190,3,1,3,14
49,Brandon Knight,27,6'3'',195,8,1,1,6
50,Brandon Sampson,22,6'5'',184,0,1,2,5
51,Brook Lopez,31,7'1'',270,11,1,5,17
52,Bruce Brown,22,6'5'',202,1,1,2,9
53,Bruno Caboclo,23,6'9'',218,5,1,3,15
54,Bryn Forbes,25,6'3'',190,0,1,1,27
55,Buddy Hield,26,6'4'',214,3,1,2,26
56,C.J. Williams,29,6'5'',226,0,1,2,18
57,Caleb Swanigan,22,6'9'',250,2,1,4,26
58,Cameron Payne,24,6'3'',190,4,1,1,6
59,Cameron Reynolds,24,6'8'',225,0,1,2,18
60,Caris LeVert,24,6'7'',204,3,1,2,3
61,Carmelo Anthony,35,6'8'',240,16,1,3,11
62,Cedi Osman,24,6'8'',215,4,1,3,6
63,Chandler Hutchison,23,6'7'',197,1,1,3,5
64,Chandler Parsons,30,6'10'',230,8,1,3,15
65,Channing Frye,36,7'1'',255,14,1,4,6
66,Chasson Randle,26,6'2'',185,0,1,1,30
67,Cheick Diallo,22,6'9'',220,3,1,4,19
68,Chimezie Metu,22,6'10'',225,1,1,4,27
69,Chris Boucher,26,6'10'',200,0,1,4,28
70,Chris Chiozza,23,6'1'',175,0,1,1,11
71,Chris Paul,34,6'1'',175,14,1,1,11
72,Christian Wood,23,6'10'',214,0,1,4,19
73,CJ McCollum,27,6'3'',190,6,1,2,25
74,CJ Miles,32,6'6'',220,14,1,2,15
75,Clint Capela,25,6'10'',240,5,1,5,11
76,Cody Zeller,26,7'1'',240,6,1,5,4
77,Collin Sexton,20,6'2'',190,1,1,1,6
78,Corey Brewer,33,6'9'',186,12,1,2,26
79,Cory Joseph,27,6'3'',193,8,1,1,12
80,Courtney Lee,33,6'5'',215,11,1,2,7
81,Cristiano Felicio,26,6'10'',265,0,1,5,5
82,D.J. Augustin,31,6'1'',183,11,1,1,22
83,D.J. Wilson,23,6'10'',231,2,1,4,17
84,Dairis Bertans,29,6'4'',200,0,1,2,19
85,Damian Jones,24,7'1'',245,3,1,5,10
86,Damian Lillard,28,6'3'',195,7,1,1,25
87,Damion Lee,26,6'6'',210,0,1,2,10
88,Damyean Dotson,25,6'6'',210,2,1,2,20
89,D'Angelo Russell,23,6'5'',198,4,1,1,3
90,Daniel Hamilton,23,6'7'',195,3,1,2,1
91,Daniel Theis,27,6'8'',243,0,1,5,2
92,Danilo Gallinari,30,6'10'',225,11,1,4,13
93,Danny Green,32,6'6'',215,10,1,2,28
94,Dante Cunningham,32,6'8'',230,10,1,3,27
95,Dante Exum,23,6'6'',190,5,1,1,29
96,Danuel House Jr.,26,6'7'',220,0,1,3,11
97,Dario Saric,25,6'10'',223,5,1,4,18
98,Darius Miller,29,6'8'',225,7,1,3,19
99,Darren Collison,31,6'1'',175,10,1,1,12
