PLAYER_ID,PLAYER_NAME,TEAM,AGE,HEIGHT,WEIGHT,DRAFT YEAR,,EXPERIENCE,TEAM_ID ,,,,,,,,,,,,,
66,Chasson Randle,WAS,26,6'2'',185,Undrafted,2019,0,30,,,,,,,,,,,,,
67,Cheick Diallo,NOP,22,6'9'',220,2016,2019,3,19,,,,,,,,,,,,,
68,Chimezie Metu,SAS,22,6'10'',225,2018,2019,1,27,,,,,,,,,,,,,
69,Chris Boucher,TOR,26,6'10'',200,Undrafted,2019,0,28,,,,,,,,,,,,,
70,Chris Chiozza,HOU,23,6'1'',175,Undrafted,2019,0,11,,,,,,,,,,,,,
71,Chris Paul,HOU,34,6'1'',175,2005,2019,14,11,,,,,,,,,,,,,
72,Christian Wood,NOP,23,6'10'',214,Undrafted,2019,0,19,,,,,,,,,,,,,
73,CJ McCollum,POR,27,6'3'',190,2013,2019,6,25,,,,,,,,,,,,,
74,CJ Miles,MEM,32,6'6'',220,2005,2019,14,15,,,,,,,,,,,,,
75,Clint Capela,HOU,25,6'10'',240,2014,2019,5,11,,,,,,,,,,,,,
76,Cody Zeller,CHA,26,7'1'',240,2013,2019,6,4,,,,,,,,,,,,,
77,Collin Sexton,CLE,20,6'2'',190,2018,2019,1,6,,,,,,,,,,,,,
78,Corey Brewer,SAC,33,6'9'',186,2007,2019,12,26,,,,,,,,,,,,,
79,Cory Joseph,IND,27,6'3'',193,2011,2019,8,12,,,,,,,,,,,,,
80,Courtney Lee,DAL,33,6'5'',215,2008,2019,11,7,,,,,,,,,,,,,
81,Cristiano Felicio,CHI,26,6'10'',265,Undrafted,2019,0,5,,,,,,,,,,,,,
82,D.J. Augustin,ORL,31,6'1'',183,2008,2019,11,22,,,,,,,,,,,,,
83,D.J. Wilson,MIL,23,6'10'',231,2017,2019,2,17,,,,,,,,,,,,,
84,Dairis Bertans,NOP,29,6'4'',200,Undrafted,2019,0,19,,,,,,,,,,,,,
85,Damian Jones,GSW,24,7'1'',245,2016,2019,3,10,,,,,,,,,,,,,
86,Damian Lillard,POR,28,6'3'',195,2012,2019,7,25,,,,,,,,,,,,,
87,Damion Lee,GSW,26,6'6'',210,Undrafted,2019,0,10,,,,,,,,,,,,,
88,Damyean Dotson,NYK,25,6'6'',210,2017,2019,2,20,,,,,,,,,,,,,
89,D'Angelo Russell,BKN,23,6'5'',198,2015,2019,4,3,,,,,,,,,,,,,
90,Daniel Hamilton,ATL,23,6'7'',195,2016,2019,3,1,,,,,,,,,,,,,
91,Daniel Theis,BOS,27,6'8'',243,Undrafted,2019,0,2,,,,,,,,,,,,,
92,Danilo Gallinari,LAC,30,6'10'',225,2008,2019,11,13,,,,,,,,,,,,,
